Pathway ID,Pathway Name,ATP,GTP,NADH,FADH2,NADPH,ATP Equiv (NADHx2.5 + FADH2x1.5),Input Molecule
1,"Glycolysis",2,0,2,0,0,7,"Default (1x)"
2,"Gluconeogenesis",-4,-2,-2,0,0,-11,"2 Pyruvate (default) or 1 Pyruvate (x0.5)"
3,"Glycogenesis",-1,0,0,0,0,-1,"Default (1x)"
4,"Glycogenolysis",0,0,0,0,0,0,"Default (1x)"
5,"Pyruvate Dehydrogenase (PDH) Complex",0,0,2,0,0,5,"1 Glucose (x2 pyruvate)"
6,"TCA / Krebs / Citric Acid Cycle",0,1,3,1,0,10,"1 Acetyl-CoA (default) or 1 Glucose (x2 turns)"
7,"HMP Shunt (Pentose Phosphate Pathway)",0,0,0,0,2,0,"Default (1x)"
8,"Glucuronic Acid Pathway",0,0,2,0,-1,5,"Default (1x)"
9,"Polyol (Sorbitol) Pathway",0,0,1,0,-1,2.5,"Default (1x)"
10,"Fructose Metabolism",-2,0,0,0,0,-2,"Default (1x)"
11,"Galactose Metabolism",-1,0,0,0,0,-1,"Default (1x)"
12,"Cori Cycle (Lactic Acid Cycle)",-4,0,0,0,0,-4,"Default (1x)"
13,"Glucose–Alanine (Cahill) Cycle",-6,0,0,0,0,-6,"Default (1x)"
14,"BPG Shunt (Rapaport–Leubering Cycle)",0,0,0,0,0,0,"Default (1x)"
15,"β-Oxidation of Fatty Acids",-2,0,7,7,0,26,"1 Palmitate 16C (x7), Stearate 18C (x8), Myristate 14C (x6)"
16,"De Novo Fatty Acid Synthesis (Lynen's Spiral)",-1,0,0,0,-14,-1,"1 Palmitate (7 cycles)"
17,"Oxidation of Odd-Chain Fatty Acids",-1,0,0,0,0,-1,"Default (1x)"
18,"Triacylglycerol Synthesis (Lipogenesis)",-1,0,0,0,0,-1,"Default (1x)"
19,"Lipolysis (Fat Mobilisation)",0,0,0,0,0,0,"Default (1x)"
20,"Ketogenesis",0,0,-1,0,0,-2.5,"Default (1x)"
21,"Ketolysis (Ketone Body Utilisation)",0,0,1,0,0,2.5,"Default (1x)"
22,"Cholesterol Biosynthesis (Mevalonate Pathway)",-9,0,0,0,-4,-9,"Default (1x)"
23,"Bile Acid Synthesis",0,0,0,0,0,0,"Default (1x)"
24,"Lipoprotein Cascade (VLDL → IDL → LDL)",0,0,0,0,0,0,"Default (1x)"
25,"Reverse Cholesterol Transport",0,0,0,0,0,0,"Default (1x)"
26,"HDL Cycle",0,0,0,0,0,0,"Default (1x)"
27,"Carnitine Shuttle",-2,0,0,0,0,-2,"Default (1x)"
28,"Citrate Shuttle (Tricarboxylate Carrier System)",-1,0,0,0,1,-1,"Default (1x)"
29,"Vitamin K Cycle (Epoxide Cycle)",0,0,-2,0,0,-5,"Default (1x)"
30,"Proteolysis (Protein Digestion)",0,0,0,0,0,0,"Default (1x)"
31,"Meister Cycle (γ-Glutamyl Cycle)",-3,0,0,0,0,-3,"Default (1x)"
32,"Transamination",0,0,0,0,0,0,"Default (1x)"
33,"Oxidative Deamination",0,0,1,0,0,2.5,"Default (1x)"
34,"Trans-deamination (Combined Pathway)",0,0,1,0,0,2.5,"Default (1x)"
35,"Non-oxidative Deamination",0,0,0,0,0,0,"Default (1x)"
36,"Urea Cycle (Krebs–Henseleit / Ornithine Cycle)",-4,0,0,0,0,-4,"Default (1x)"
37,"One-Carbon Metabolism (Folate Cycle)",0,0,-1,0,0,-2.5,"Default (1x)"
38,"Glycine–Serine–Choline Salvage Cycle",0,0,1,0,0,2.5,"Default (1x)"
39,"Glycine Cleavage System",0,0,1,0,0,2.5,"Default (1x)"
40,"Creatine–Creatinine Cycle",-1,0,0,0,0,-1,"Default (1x)"
41,"Trans-sulfuration Pathway (Methionine → Cysteine)",-1,0,0,0,0,-1,"Default (1x)"
42,"Phenylalanine and Tyrosine Catabolism",0,0,0,0,0,0,"Default (1x)"
43,"BCAA Catabolism (Val, Leu, Ile)",0,0,1,1,0,4,"Default (1x)"
44,"Kynurenine Pathway (Tryptophan → Niacin)",0,0,0,0,-1,0,"Default (1x)"
45,"GABA Shunt",0,0,1,0,0,2.5,"Default (1x)"
46,"Catecholamine Synthesis",0,0,0,0,0,0,"Default (1x)"
47,"Serotonin and Melatonin Synthesis",0,0,0,0,0,0,"Default (1x)"
48,"Melanin Synthesis",0,0,0,0,0,0,"Default (1x)"
49,"Ubiquitin–Proteasome Pathway",-2,0,0,0,0,-2,"Default (1x)"
50,"Heme Biosynthesis (Porphyrin Synthesis)",0,0,0,0,0,0,"Default (1x)"
51,"Heme Catabolism (Heme → Bilirubin)",0,0,0,0,-4,0,"Default (1x)"
52,"Bilirubin Transport, Conjugation and Excretion",0,0,0,0,0,0,"Default (1x)"
53,"De Novo Purine Synthesis",-2,0,0,0,0,-2,"Default (1x)"
54,"Purine Salvage Pathway",0,0,0,0,0,0,"Default (1x)"
55,"Purine Nucleotide Degradation (Uric Acid Formation)",0,0,0,0,0,0,"Default (1x)"
56,"De Novo Pyrimidine Synthesis",-5,0,1,0,0,-2.5,"Default (1x)"
57,"Pyrimidine Degradation",0,0,0,0,-4,0,"Default (1x)"
58,"Deoxyribonucleotide Synthesis (Ribonucleotide Reductase)",0,0,0,0,1,0,"Default (1x)"
