Pathway ID,Pathway Name,Step Num,Enzyme,Location,Energy,Reversible
1,"Glycolysis",1,"Hexokinase / Glucokinase","Cytosol","-1 ATP",false
1,"Glycolysis",2,"Phosphoglucose Isomerase","Cytosol","0",true
1,"Glycolysis",3,"Phosphofructokinase-1 (PFK-1) — Rate-Limiting Step","Cytosol","-1 ATP",false
1,"Glycolysis",4,"Aldolase A (muscle) / Aldolase B (liver)","Cytosol","0",true
1,"Glycolysis",5,"Triose Phosphate Isomerase","Cytosol","0",true
1,"Glycolysis",6,"G3P Dehydrogenase","Cytosol","+2 NADH",true
1,"Glycolysis",7,"Phosphoglycerate Kinase (PGK)","Cytosol","+2 ATP (SLP)",true
1,"Glycolysis",8,"Phosphoglycerate Mutase","Cytosol","0",true
1,"Glycolysis",9,"Enolase","Cytosol","0",true
1,"Glycolysis",10,"Pyruvate Kinase","Cytosol","+2 ATP (SLP)",false
2,"Gluconeogenesis",1,"Pyruvate Carboxylase","Mitochondrial matrix","-2 ATP",false
2,"Gluconeogenesis",2,"Malate-Aspartate Shuttle (export mechanism)","Inner mitochondrial membrane","0",true
2,"Gluconeogenesis",3,"PEPCK (Phosphoenolpyruvate Carboxykinase)","Cytosol","-2 GTP",false
2,"Gluconeogenesis",4,"Reversible Glycolytic Enzymes (Enolase, Mutase, PGK, GAPDH)","Cytosol","-2 ATP, -2 NADH",true
2,"Gluconeogenesis",5,"Fructose-1,6-Bisphosphatase","Cytosol","0",false
2,"Gluconeogenesis",6,"Phosphoglucose Isomerase","Cytosol","0",true
2,"Gluconeogenesis",7,"Glucose-6-Phosphatase (liver and kidney only)","Cytosol (ER)","0",false
3,"Glycogenesis",1,"Hexokinase / Glucokinase","Cytosol","-1 ATP",false
3,"Glycogenesis",2,"Phosphoglucomutase","Cytosol","0",true
3,"Glycogenesis",3,"UDP-Glucose Pyrophosphorylase (UDPG-PPase)","Cytosol","-1 UTP",true
3,"Glycogenesis",4,"Glycogenin (self-glucosylating primer protein)","Cytosol","0",false
3,"Glycogenesis",5,"Glycogen Synthase — Key Regulatory Enzyme","Cytosol","0",false
3,"Glycogenesis",6,"Branching Enzyme (Amylo-1,4→1,6-transglucosidase)","Cytosol","0",false
4,"Glycogenolysis",1,"Glycogen Phosphorylase — Key Regulatory Enzyme","Cytosol","+1 Pᵢ",false
4,"Glycogenolysis",2,"Debranching Enzyme (bifunctional: Transferase + α₁→6 Glucosidase)","Cytosol","0",false
4,"Glycogenolysis",3,"Phosphoglucomutase","Cytosol","0",true
4,"Glycogenolysis",4,"Glucose-6-Phosphatase (liver and kidney ONLY)","Cytosol","0",false
5,"Pyruvate Dehydrogenase (PDH) Complex",1,"E1: Pyruvate Dehydrogenase","Mitochondrial matrix","0 (CO₂ released)",false
5,"Pyruvate Dehydrogenase (PDH) Complex",2,"E2: Dihydrolipoyl Transacetylase","Mitochondrial matrix","0",false
5,"Pyruvate Dehydrogenase (PDH) Complex",3,"E3: Dihydrolipoyl Dehydrogenase","Mitochondrial matrix","+1 NADH",false
6,"TCA / Krebs / Citric Acid Cycle",1,"Citrate Synthase","Mitochondrial matrix","0",false
6,"TCA / Krebs / Citric Acid Cycle",2,"Aconitase","Mitochondrial matrix","0",true
6,"TCA / Krebs / Citric Acid Cycle",3,"Isocitrate Dehydrogenase — Rate-Limiting Step","Mitochondrial matrix","+1 NADH + CO₂",false
6,"TCA / Krebs / Citric Acid Cycle",4,"α-Ketoglutarate Dehydrogenase Complex","Mitochondrial matrix","+1 NADH + CO₂",false
6,"TCA / Krebs / Citric Acid Cycle",5,"Succinate Thiokinase (Succinyl-CoA Synthetase)","Mitochondrial matrix","+1 GTP (SLP)",true
6,"TCA / Krebs / Citric Acid Cycle",6,"Succinate Dehydrogenase (Complex II of ETC)","Inner mitochondrial membrane","+1 FADH₂",false
6,"TCA / Krebs / Citric Acid Cycle",7,"Fumarase (Fumarate Hydratase)","Mitochondrial matrix","0",true
6,"TCA / Krebs / Citric Acid Cycle",8,"Malate Dehydrogenase","Mitochondrial matrix","+1 NADH",true
7,"HMP Shunt (Pentose Phosphate Pathway)",1,"G6PD (Glucose-6-Phosphate Dehydrogenase) — Rate-Limiting Step","Cytosol","+1 NADPH",false
7,"HMP Shunt (Pentose Phosphate Pathway)",2,"Gluconolactonase","Cytosol","0",true
7,"HMP Shunt (Pentose Phosphate Pathway)",3,"6-Phosphogluconate Dehydrogenase (6-PGD)","Cytosol","+1 NADPH + CO₂",false
